Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,02/27/2026,Online Transfer to CHK ...9560 transaction#: 28233747825 02/27,-100,ACCT_XFER,5541.21,
DEBIT,02/27/2026,TIKTOK SHOP TIKTOK.COM CA                    02/26,-9.57,DEBIT_CARD,5641.21,
DEBIT,02/27/2026,DTC CAFE WILMINGTON DE                       02/26,-6.88,DEBIT_CARD,5650.78,
DEBIT,02/27/2026,DTC CAFE WILMINGTON DE                       02/26,-5.58,DEBIT_CARD,5657.66,
DEBIT,02/27/2026,AMAZON MKTPL*B10759Y Amzn.com/bill WA        02/26,-25.45,DEBIT_CARD,5663.24,
DEBIT,02/27/2026,Amazon.com*B98172QO1 Amzn.com/bill WA        02/27,-40.83,DEBIT_CARD,5688.69,
CREDIT,02/27/2026,JPMORGAN CHASE B PAYROLL DD                 PPD ID: 1134994650,3682.15,ACH_CREDIT,5729.52,
DEBIT,02/26/2026,Amazon.com*B17XE9RP0 Amzn.com/bill WA        02/26,-16.14,DEBIT_CARD,2047.37,
DEBIT,02/26/2026,AMAZON MKTPL*B15TA4R Amzn.com/bill WA        02/26,-39.95,DEBIT_CARD,2063.51,
DEBIT,02/26/2026,AIRPORT PLAZA ORLANDO FL                     02/25,-20.22,DEBIT_CARD,2103.46,
DEBIT,02/26/2026,AMAZON MKTPL*BE0TZ20 Amzn.com/bill WA        02/26,-11.63,DEBIT_CARD,2123.68,
DEBIT,02/26/2026,Amazon.com*B932F5XC1 Amzn.com/bill WA        02/26,-8.74,DEBIT_CARD,2135.31,
DEBIT,02/26/2026,Amazon.com*BE12U10X2 Amzn.com/bill WA        02/26,-2.11,DEBIT_CARD,2144.05,
DEBIT,02/26/2026,365 Market J 888 432-32 TROY MI              02/25,-3.09,DEBIT_CARD,2146.16,
DEBIT,02/26/2026,DRIP CAFE NEWARK DE                          02/26,-4.5,DEBIT_CARD,2149.25,
DEBIT,02/26/2026,University of Delawar 704-817-2500 NC        02/25,-6.25,DEBIT_CARD,2153.75,
DEBIT,02/26/2026,DTC CAFE WILMINGTON DE                       02/25,-6,DEBIT_CARD,2160,
DEBIT,02/26/2026,DTC CAFE WILMINGTON DE                       02/25,-5.48,DEBIT_CARD,2166,
DEBIT,02/26/2026,AMAZON MKTPL*B99RV9X Amzn.com/bill WA        02/26,-24.99,DEBIT_CARD,2171.48,
CREDIT,02/26/2026,Wingmom Delaware Bluevine                   PPD ID: 2330165191,59.9,ACH_CREDIT,2196.47,
DEBIT,02/25/2026,PAYPAL           INST XFER  ADOBE INC ADOBE WEB ID: PAYPALSI77,-29.99,ACH_DEBIT,2136.57,
DEBIT,02/25/2026,AMAZON PRIME*BE8DO1JI 888-802-3080 WA        02/25,-5.99,DEBIT_CARD,2166.56,
DEBIT,02/25/2026,365 Market J 888 432-32 TROY MI              02/24,-1.99,DEBIT_CARD,2172.55,
DEBIT,02/25/2026,DTC CAFE WILMINGTON DE                       02/24,-4.94,DEBIT_CARD,2174.54,
DEBIT,02/24/2026,Online Transfer to CHK ...9560 transaction#: 28192952097 02/24,-200,ACCT_XFER,2179.48,
DEBIT,02/24/2026,VERIZON          PAYMENTREC 9579203800001   WEB ID: 9783397101,-64.99,ACH_DEBIT,2379.48,
DEBIT,02/23/2026,ARTESIANWATER    E-VIEW PMT AW03MWO6        WEB ID: 1510280061,-67.53,ACH_DEBIT,2444.47,
DEBIT,02/23/2026,WEST LOOP MARKET - MAD CHICAGO IL            02/21,-15.41,DEBIT_CARD,2512,
DEBIT,02/23/2026,WALGREENS STORE 1051 W CHICAGO IL    445720  02/21,-42.98,DEBIT_CARD,2527.41,
DEBIT,02/23/2026,5GUYS 0387 ECOMM 302-998-2955 DE             02/21,-26.15,DEBIT_CARD,2570.39,
DEBIT,02/23/2026,TRADER JOE S #75 2500 NEWARK DE      492924  02/21,-148.86,DEBIT_CARD,2596.54,
DEBIT,02/23/2026,ACME 0826 WILMINGTON DE                      02/21,-56.42,DEBIT_CARD,2745.4,
DEBIT,02/23/2026,DTC CAFE WILMINGTON DE                       02/20,-5.15,DEBIT_CARD,2801.82,
DEBIT,02/23/2026,Amazon.com*B901O1MH2 Amzn.com/bill WA        02/20,-37.72,DEBIT_CARD,2806.97,
CREDIT,02/23/2026,Pay in 4 Deposit  - POS DEBIT TRADER JOE (...7156),148.86,MISC_CREDIT,2844.69,
CREDIT,02/20/2026,INTEREST PAYMENT,0.03,MISC_CREDIT,2695.83,
DEBIT,02/20/2026,7-ELEVEN CHICAGO IL                  752626  02/20,-25.56,DEBIT_CARD,2695.8,
DEBIT,02/20/2026,Payment to Chase card ending in 3008 02/20,-167,LOAN_PMT,2721.36,
DEBIT,02/20/2026,WAWA 0888 610-358-8000 DE                    02/19,-48.82,DEBIT_CARD,2888.36,
CREDIT,02/20/2026,UNIVERSITY OF DE PAYROLL                    PPD ID: 1516000297,890.26,ACH_CREDIT,2937.18,
DEBIT,02/19/2026,SP CLEVR BLENDS CLEVRBLENDS.C CA             02/19,-40.9,DEBIT_CARD,2046.92,
DEBIT,02/19/2026,Online Transfer to  CHK ...9560 transaction#: 27957491586 02/19,-220,ACCT_XFER,2087.82,
DEBIT,02/19/2026,Amazon.com*MZ16U5WB3 Amzn.com/bill WA        02/19,-13.59,DEBIT_CARD,2307.82,
DEBIT,02/19/2026,SP CLEVR BLENDS CLEVRBLENDS.C CA             02/19,-150.8,DEBIT_CARD,2321.41,
DEBIT,02/19/2026,DTC CAFE WILMINGTON DE                       02/18,-4.94,DEBIT_CARD,2472.21,
DEBIT,02/19/2026,CHARLOTTES WEB 719-419-8169 CO               02/19,-41.99,DEBIT_CARD,2477.15,
CREDIT,02/19/2026,Wingmom Delaware Bluevine                   PPD ID: 2330165191,59.9,ACH_CREDIT,2519.14,
DEBIT,02/18/2026,Payment to Chase card ending in 3008 02/18,-47,LOAN_PMT,2459.24,
DEBIT,02/18/2026,Autopay to Chase Pay in 4 (...6508) 02/18,-12.5,LOAN_PMT,2506.24,
DEBIT,02/18/2026,CITI AUTOPAY     PAYMENT    251938795010022 WEB ID: CITICARDAP,-38.54,MISC_DEBIT,2518.74,
DEBIT,02/18/2026,Amazon.com*DS0890N73 Amzn.com/bill WA        02/17,-13.41,DEBIT_CARD,2557.28,
DEBIT,02/18/2026,Amazon.com*B92218OO2 Amzn.com/bill WA        02/17,-5.09,DEBIT_CARD,2570.69,
DEBIT,02/18/2026,Amazon.com*B916O4OB2 Amzn.com/bill WA        02/17,-1.79,DEBIT_CARD,2575.78,
DEBIT,02/18/2026,Amazon.com*B91341OM2 Amzn.com/bill WA        02/17,-17.08,DEBIT_CARD,2577.57,
DEBIT,02/18/2026,Amazon.com*B921P8O12 Amzn.com/bill WA        02/17,-4.67,DEBIT_CARD,2594.65,
DEBIT,02/18/2026,Amazon.com*T38Q38YN3 Amzn.com/bill WA        02/17,-9.33,DEBIT_CARD,2599.32,
DEBIT,02/18/2026,Amazon.com*B98T51OZ2 Amzn.com/bill WA        02/17,-6.37,DEBIT_CARD,2608.65,
DEBIT,02/18/2026,AMAZON MKTPL*RA4HJ45 Amzn.com/bill WA        02/17,-8.98,DEBIT_CARD,2615.02,
DEBIT,02/18/2026,AMAZON MKTPL*B953H8O Amzn.com/bill WA        02/17,-8.47,DEBIT_CARD,2624,
DEBIT,02/17/2026,CAPITAL ONE      MOBILE PMT CA0278FF1CD0D2F WEB ID: 9279744380,-1350,ACH_DEBIT,2632.47,
DEBIT,02/17/2026,PAYPAL           INST XFER  FLEXJOBS        WEB ID: PAYPALSI77,-2.95,ACH_DEBIT,3982.47,
